state,frequency,pct
00110110110101001000010111100,2,4e-06
00111100101110001000010111100,1,2e-06
01001101101101010110010111100,2,4e-06
11100111101101101010010111100,1,2e-06
01011011111101101110010111100,1,2e-06
11111001010111111010010111100,1,2e-06
11011011011010011110010111100,1,2e-06
01110011010100000100010111100,1,2e-06
10101001001010000110010111100,1,2e-06
00101010100011010010010111100,1,2e-06
00101110010101011000010111100,1,2e-06
11100110011000010110010111100,1,2e-06
10100100100011111010010111100,6,1.2e-05
00101010111011100000010111100,1,2e-06
01101001100110111010010111100,1,2e-06
00001110000011111110010111100,1,2e-06
00000000111010101110010111100,1,2e-06
10100110100111111010010111100,1,2e-06
01111111110000011110010111100,1,2e-06
01011011011011011110010111100,1294,0.002588
00010101100111001000010111100,1,2e-06
01010011010100010000010111100,1,2e-06
00110110110110100000010111100,27,5.4e-05
00001110110110010100010111100,1,2e-06
10010101010000110000010111100,1,2e-06
11000000001010110110010111100,1,2e-06
01011001101100000100010111100,1,2e-06
11100101101101011000010111100,1,2e-06
10111001100101000000010111100,1,2e-06
11010100110000010100010111100,1,2e-06
01100011010111101010010111100,1,2e-06
01101111100101100010010111100,1,2e-06
00100001011100110110010111100,1,2e-06
10111100110111100110010111100,3,6e-06
10011010011101100000010111100,1,2e-06
11111001011010100010010111100,1,2e-06
00011110110000000110010111100,1,2e-06
10010010010001100110010111100,1,2e-06
11001000101110111100010111100,1,2e-06
01000100110101010000010111100,1,2e-06
10010000111000101010010111100,1,2e-06
01111100011111011110010111100,1,2e-06
11000011100011000100010111100,1,2e-06
10001100110011110010010111100,1,2e-06
01000110010001011000010111100,1,2e-06
11001111100111000000010111100,2,4e-06
00001000101000001110010111100,1,2e-06
01111011000111001100010111100,1,2e-06
10100100000001010100010111100,1,2e-06
00010011001110101010010111100,1,2e-06
01101010000000101010010111100,1,2e-06
00101010100111000100010111100,1,2e-06
01101000001000101000010111100,1,2e-06
00011001011101100110010111100,1,2e-06
10000000101000111110010111100,1,2e-06
01100010010111100100010111100,1,2e-06
00110110100010001110010111100,1,2e-06
00001101011011100110010111100,1,2e-06
01011011011110001100010111100,1,2e-06
01001001101000000010010111100,1,2e-06
10000011110000100000010111100,1,2e-06
11110110111110001010010111100,1,2e-06
00000111101011100010010111100,1,2e-06
