state,frequency,pct
00001111111100010000110010000101100,1,2e-06
10000010110100000100010010000101100,2,4e-06
00001111110100000010001010000101100,1,2e-06
01001111101101010001011010000101100,2,4e-06
11011001100011011000111010000101100,4,8e-06
10000001011010000001000010000101100,2,4e-06
00011110111100100011000010000101100,1,2e-06
01010010000011010000100010000101100,1,2e-06
01011011111001011011110010000101100,23,4.6e-05
11101100010011101001001010000101100,1,2e-06
01011111001011100001111010000101100,1,2e-06
00000110100100000100000010000101100,1,2e-06
11111111000011111111010010000101100,42,8.4e-05
00101110011010101011111010000101100,1,2e-06
01000011111111000011101010000101100,1,2e-06
00011000110110011010010010000101100,1,2e-06
11110011010101110011010010000101100,100,0.0002
01100001000011011111111010000101100,1,2e-06
10101111110101011010110010000101100,1,2e-06
10100111110110100100101010000101100,1,2e-06
10110011000110110010111010000101100,2,4e-06
00111010100110111011101010000101100,1,2e-06
00001111111100010001001010000101100,2,4e-06
01111001111001111001001010000101100,1,2e-06
10110100100000110100010010000101100,4,8e-06
10000110100100111011101010000101100,1,2e-06
10001111111100001110111010000101100,3,6e-06
01010001100101010001010010000101100,13,2.6e-05
10011001010100011001111010000101100,2,4e-06
00000110000100010011110010000101100,1,2e-06
10000000011110000000010010000101100,18,3.6e-05
00110111110010110101100010000101100,1,2e-06
11001010000101001010001010000101100,603,0.001206
01100011110111100011111010000101100,859,0.001718
10101110011010101110010010000101100,47,9.4e-05
01001000101011001010010010000101100,1,2e-06
10001110000100001110100010000101100,7,1.4e-05
00011100100110011100010010000101100,2,4e-06
00101010101010101011010010000101100,6,1.2e-05
00111100000011000100010010000101100,1,2e-06
10100001010010100000011010000101100,2,4e-06
11110010011001110011011010000101100,1,2e-06
01110011010101110110010010000101100,1,2e-06
00111001001100111001100010000101100,11,2.2e-05
10110011001000101011011010000101100,1,2e-06
11111100101101111011111010000101100,1,2e-06
10100110111010001100011010000101100,1,2e-06
00100101000010100111001010000101100,3,6e-06
00100101100000100101101010000101100,3,6e-06
11011111001011100000100010000101100,1,2e-06
00101010001100110110100010000101100,1,2e-06
10001100101010001000100010000101100,1,2e-06
10100100100100100010100010000101100,1,2e-06
01101001111101101010110010000101100,2,4e-06
